route,status,indexability,reason
/,review,noindex,Full source verification and owner approval required before indexing
/catalog/,review,noindex,Full source verification and owner approval required before indexing
/catalog/chigo/,review,noindex,Full source verification and owner approval required before indexing
/catalog/haier/,review,noindex,Full source verification and owner approval required before indexing
/catalog/jax/,review,noindex,Full source verification and owner approval required before indexing
/catalog/rovex/,review,noindex,Full source verification and owner approval required before indexing
/catalog/vickers/,review,noindex,Full source verification and owner approval required before indexing
/catalog/chigo/sunrise-inverter-268/,review,noindex,Full source verification and owner approval required before indexing
/catalog/chigo/alba-inverter-150/,review,noindex,Full source verification and owner approval required before indexing
/catalog/chigo/king-inverter-172/,review,noindex,Full source verification and owner approval required before indexing
/catalog/chigo/lotos-on-off-169/,review,noindex,Full source verification and owner approval required before indexing
/catalog/chigo/moon-on-off-181/,review,noindex,Full source verification and owner approval required before indexing
/catalog/haier/jade-super-match/,review,noindex,Full source verification and owner approval required before indexing
/catalog/haier/flexis-super-match/,review,noindex,Full source verification and owner approval required before indexing
/catalog/haier/stellar-hp-minus-20/,review,noindex,Full source verification and owner approval required before indexing
/catalog/haier/flexis-on-off/,review,noindex,Full source verification and owner approval required before indexing
/catalog/haier/coral-dc-inverter/,review,noindex,Full source verification and owner approval required before indexing
/catalog/haier/coral-on-off/,review,noindex,Full source verification and owner approval required before indexing
/catalog/haier/tundra-dc-inverter/,review,noindex,Full source verification and owner approval required before indexing
/catalog/haier/tundra-on-off/,review,noindex,Full source verification and owner approval required before indexing
/catalog/haier/quantum-inverter/,review,noindex,Full source verification and owner approval required before indexing
/catalog/haier/quantum-on-off/,review,noindex,Full source verification and owner approval required before indexing
/catalog/haier/leader-a/,review,noindex,Full source verification and owner approval required before indexing
/catalog/jax/murray-acy-he-r32-new/,review,noindex,Full source verification and owner approval required before indexing
/catalog/jax/hayman-aci-he-neo-r32/,review,noindex,Full source verification and owner approval required before indexing
/catalog/jax/brisbane-aciu-he-r32/,review,noindex,Full source verification and owner approval required before indexing
/catalog/jax/tasmania-acn-he-r32/,review,noindex,Full source verification and owner approval required before indexing
/catalog/jax/melbourne-acm-he/,review,noindex,Full source verification and owner approval required before indexing
/catalog/jax/york-ace-he-neo/,review,noindex,Full source verification and owner approval required before indexing
/catalog/jax/adelaide-aci-he/,review,noindex,Full source verification and owner approval required before indexing
/catalog/jax/darwin-ack-he/,review,noindex,Full source verification and owner approval required before indexing
/catalog/rovex/smart-pro-rs-pxi6-pro/,review,noindex,Full source verification and owner approval required before indexing
/catalog/rovex/smart-rs-pxi6/,review,noindex,Full source verification and owner approval required before indexing
/catalog/rovex/star-s-abs-he-s/,review,noindex,Full source verification and owner approval required before indexing
/catalog/rovex/star-n-abs-he-n/,review,noindex,Full source verification and owner approval required before indexing
/catalog/rovex/rich-rs-muin1/,review,noindex,Full source verification and owner approval required before indexing
