route,template,intent,primary_keyword,entity,source,owner,status,indexability,canonical,last_verified,quality_score
/,home,Главная точка входа и предварительный подбор,кондиционирование и вентиляция,СНЕГ,MASTER_PROMPT + verified UI copy,product,review,noindex,/,2026-08-20,78
/catalog/,catalog,Поиск и фильтрация проверенных серий,каталог кондиционеров,catalog,MASTER_PROMPT section 3,catalog,review,noindex,/catalog/,2026-08-20,65
/catalog/chigo/,brand,Навигация по сериям Chigo,кондиционеры Chigo,Chigo,MASTER_PROMPT section 3,catalog,review,noindex,/catalog/chigo/,2026-08-20,48
/catalog/haier/,brand,Навигация по сериям Haier,кондиционеры Haier,Haier,MASTER_PROMPT section 3,catalog,review,noindex,/catalog/haier/,2026-08-20,48
/catalog/jax/,brand,Навигация по сериям JAX,кондиционеры JAX,JAX,MASTER_PROMPT section 3,catalog,review,noindex,/catalog/jax/,2026-08-20,48
/catalog/rovex/,brand,Навигация по сериям Rovex,кондиционеры Rovex,Rovex,MASTER_PROMPT section 3,catalog,review,noindex,/catalog/rovex/,2026-08-20,48
/catalog/vickers/,brand,Навигация по сериям Vickers,кондиционеры Vickers,Vickers,MASTER_PROMPT section 3,catalog,review,noindex,/catalog/vickers/,2026-08-20,48
/catalog/chigo/sunrise-inverter-268/,series,Модели и варианты серии Sunrise Inverter 268,Chigo Sunrise Inverter 268,Chigo / Sunrise Inverter 268,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/chigo/sunrise-inverter-268/,2026-08-20,42
/catalog/chigo/alba-inverter-150/,series,Модели и варианты серии Alba Inverter 150,Chigo Alba Inverter 150,Chigo / Alba Inverter 150,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/chigo/alba-inverter-150/,2026-08-20,42
/catalog/chigo/king-inverter-172/,series,Модели и варианты серии King Inverter 172,Chigo King Inverter 172,Chigo / King Inverter 172,MASTER_PROMPT section 3; technical sources required,catalog,review,noindex,/catalog/chigo/king-inverter-172/,2026-08-20,42
